"Subject" "Activity" "smartDomain" "smartAcceleration" "smartInstrument" "smartJerk" "smartMagnitude" "smartStatistic" "smartAxis" "count" "average"
"1" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "X" 95 -0.041830963526
"2" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 95 -0.0695300462115789
"3" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 95 0.0849448173042105
"4" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "X" 95 -0.473535485894737
"5" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 95 -0.0546077686594737
"6" 1 1 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 95 -0.344266629473684
"7" 1 1 "Time" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 95 -0.160979552536842
"8" 1 1 "Time" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 95 -0.186978364526316
"9" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "X" 95 -0.0899975423705263
"10" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Y" 95 -0.0398428709463158
"11" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Z" 95 -0.0461309295021053
"12" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "X" 95 -0.207421854757895
"13" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Y" 95 -0.304468510631579
"14" 1 1 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Z" 95 -0.404255452631579
"15" 1 1 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 95 -0.298703679084211
"16" 1 1 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 95 -0.325324878894737
"17" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "X" 95 0.277330758736842
"18" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 95 -0.0173838185273684
"19" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 95 -0.111148103547368
"20" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "X" 95 -0.283740258842105
"21" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 95 0.114461336747368
"22" 1 1 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 95 -0.260027902210526
"23" 1 1 "Time" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 95 -0.136971176556842
"24" 1 1 "Time" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 95 -0.219688645631579
"25" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 95 0.0740416333157895
"26" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 95 0.0282721095884211
"27" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 95 -0.00416840617789474
